coverage,set_size,worst_class_cov,ssc,empty_rate,seed,severity,method,cost_ms
0.695,1.0783333333333334,0.0,0.0,0.05583333333333333,4,0.4,Split CP,0.13970000145491213
0.6883333333333334,1.0466666666666666,0.0,0.0,0.0625,4,0.4,Weighted CP,0.06830001075286418
0.6925,1.0733333333333333,0.0,0.0,0.058333333333333334,4,0.4,Classwise CP,0.2545000024838373
0.7708333333333334,1.9625,0.09,0.6809015421115066,0.0016666666666666668,4,0.4,ACI,8.153000002494082
0.5358333333333334,1.3358333333333334,0.0,0.0,0.041666666666666664,4,0.6,Split CP,0.10779999138321728
0.5208333333333334,1.2841666666666667,0.0,0.0,0.04416666666666667,4,0.6,Weighted CP,0.08739999611862004
0.5341666666666667,1.3208333333333333,0.0,0.0,0.043333333333333335,4,0.6,Classwise CP,0.32550000469200313
0.7541666666666667,2.2025,0.08,0.5223048327137546,0.005,4,0.6,ACI,12.082999994163401
0.37083333333333335,1.3358333333333334,0.0,0.0,0.0275,4,0.8,Split CP,0.10720000136643648
0.3675,1.3108333333333333,0.0,0.0,0.028333333333333332,4,0.8,Weighted CP,0.10039999324362725
0.36916666666666664,1.3158333333333334,0.0,0.0,0.028333333333333332,4,0.8,Classwise CP,0.374099996406585
0.5083333333333333,1.765,0.0,0.3567318757192175,0.0025,4,0.8,ACI,12.727599998470396
0.22583333333333333,1.1533333333333333,0.0,0.0,0.04833333333333333,4,1.0,Split CP,0.20169999334029853
0.22416666666666665,1.1341666666666668,0.0,0.0,0.050833333333333335,4,1.0,Weighted CP,0.1066999975591898
0.225,1.1491666666666667,0.0,0.0,0.050833333333333335,4,1.0,Classwise CP,0.3549999964889139
0.4083333333333333,1.61,0.0,0.0,0.0008333333333333334,4,1.0,ACI,12.408099995809607
